Núm.,Tipo,Estado,Descripción,Usuario Reporta,Solicitado a,Auditor Global,Proceso,Fecha de Creación,Fecha Cierre,Norma y Numeral,Acción Eficaz,Acción Correctiva,%Avance Eficaz,%Avance Plan de Acciones
,,,,,,,,,,"4. Medicamentos, dispositivos médicos e insumos",,,,
1791,No Conformidad,Abierta,"7. El prestador de servicios de salud que cuente con reservas de medicamentos, homeopáticos, fitoterapéuticos, medicamentos biológicos, componentes anatómicos, dispositivos médicos (incluidos los sobre medida), reactivos de diagnóstico in vitro, y demás insumos asistenciales, debe garantizar que se almacenen en condiciones apropiadas de temperatura, humedad, ventilación, segregación y seguridad de acuerdo con las condiciones definidas por el fabricante o el banco del componente anatómico, según ...",Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,"4. Medicamentos, dispositivos médicos e insumos",,,,
1792,No Conformidad,Abierta,"9. La suficiencia de dispositivos médicos está relacionada con la frecuencia de uso de los mismos, incluyendo los tiempos del proceso de esterilización, cuando aplique.: No cuenta con documento donde se evidencie suficiencia de los dispositivos médicos relacionada con la frecuencia de uso de los mismos.",Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,"4. Medicamentos, dispositivos médicos e insumos",,,,
1793,No Conformidad,Abierta,"10. El prestador de servicios de salud cuenta con paquete para el manejo de derrames y rupturas de medicamentos, ubicado en un lugar de fácil acceso, visible y con adecuada señalización, disponible para su uso en los servicios y ambientes donde se requieran. El prestador de servicios de salud define su contenido de acuerdo con los medicamentos utilizados y lo sugerido por el fabricante en las fichas técnicas: Cuenta con paquete para el manejo de derrames y rupturas de medicamentos, ubicado en u...",Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,"4. Medicamentos, dispositivos médicos e insumos",,,,
1794,No Conformidad,Abierta,16.1. Dispositivos médicos e insumos asistenciales según la patología del paciente o eventos de interés en salud pública cuando se requiera: El prestador no documenta los dispositivos médicos e insumos según la patología del paciente en el estándar de procesos prioritarios.,Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,"4. Medicamentos, dispositivos médicos e insumos",,,,
1795,No Conformidad,Abierta,"16.2. Medicamentos de acuerdo con inventario establecido por el prestador acorde a lo documentado en sus procesos prioritarios, cuando se requiera: El prestador no documenta los dispositivos médicos e insumos según la patología del paciente en el estándar de procesos prioritarios.",Administrador,calidad,,Gestión de Recursos,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,"4. Medicamentos, dispositivos médicos e insumos",,,,
1796,No Conformidad,Abierta,"3. El prestador de servicios de salud cuenta con un comité o instancia que orienta y promueve la política de seguridad del paciente, el control de infecciones y la optimización del uso de antibióticos, cuando los prescriba o administre. En el caso de profesionales independientes de salud podrá ser el mismo prestador: La ESE presenta documento acta de reunión del actualización del personal a carrgo del comité de seguridad del paciente del 16 de febrero de 2024 donde establece que se reunirán de ...",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1797,No Conformidad,Abierta,"4. El prestador de servicios de salud adopta y realiza las siguientes prácticas seguras, según aplique a su servicio de salud y cuenta con información documentada para: 4.1. Asegurar la correcta identificación del paciente en los procesos asistenciales. (que incluya como mínimo dos identificadores: nombre completo y número de identificación): La ese presenta documento MA-MI-HO-01 identificación del usuario, el cual tiene como objetivo definir las actividades para la correcta identificación del ...",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1798,No Conformidad,Abierta,"4.3. Detectar, prevenir y reducir infecciones asociadas con la atención en salud (que incluya protocolo de higiene de manos o higienización con soluciones a base de alcohol). La ESE presenta documento PT-ES-CA-03 protocolo de lavado de manos el cual tiene como objetivo obtener una disminución significativa en la flora residente y eliminar completamente la flora transitoria se establecen los tipos de lavados de manos, los momentos pero no se menciona los materiales e insumos requeridos para dich...",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1799,No Conformidad,Abierta,"4.4. Detectar, analizar y gestionar eventos adversos: La ESE presenta documento PT-ES-CA-01 protocolo de Londres eventos adverso mediante el cual se establece la metodología para el análisis de los eventos adversos, adicionalmente se cuenta con documento PR-ES-CA-01 gestión del evento adverso el cual establece que para la identificación de los eventos se revisara diariamente el programa gema, revisión diaria de los eventos reportados, depurar los eventos registrados, entregar a cada líder asist...",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
,,,,,,,,,,5. Procesos Prioritarios,,,,
1800,No Conformidad,Abierta,"4.6. Mejorar la seguridad en la utilización de medicamentos, en los servicios donde aplique: La ESE presenta documento PT-MI-UR-01 administración de medicamentos el cual tiene como objetivo estandarizar la administración de medicamentos en el proceso de atención en dicho documento se establece que el inicio de este procedimiento inicia con la formulación por parte del personal médico, posteriormente se realiza bajo los 10 correctos la administración de dicho medicamento se debe rotular con el n...",Administrador,calidad,,Misionales,21/Mar/2025,,Resolución 3100 de 2019:,PE,NO,,-
