num,descripcion,proceso,estandar,fuente,municipio,uas,año,mes,dia
1543.0,19.2.2. Mesa para atencion de partos: La mesa para la atencion de partos se encuentra con oxido.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1544.0,19.3.5. Oximetro con sensor neonatal: No cuenta con oxigeno con sensor neonatal.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1545.0,"19.3.7. Laringoscopio con hoja neonatal: Cuenta con laringoscopio con hojas rectas y curvas para adultos, se evidencia una hoja de paciente neonatal, no se encuentran esteriles.",Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1546.0,19.4.3. Oxigeno medicinal que puede ser suministrado mediante salida de oxigeno medicinal o mediante oxigeno medicinal portatil por camilla. No cuenta con oxigeno medicinal.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1547.0,19.4.4. Succion. Puede ser suministrado mediante sistema de vaclo o mediante aspirador: No cuenta con succion.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1548.0,19.5.5. Silla de ruedas: No cuenta silla de ruedas.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1549.0,19.5.6. Oxigeno medicinal que puede ser suministrado mediante salida de oxigeno medicinal o mediante oxigeno medicinal portatil por camilla: No cuenta con oxigeno medicinal.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1550.0,24. Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con: No cumple con los criterios que le sean aplicables de todos los servicios.,Gestion de Recursos,"4. Medicamentos, dispositivos medicos e insumos",Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1551.0,24.1. Cateteres para vena umbilical: No cuenta con Cateteres para vena umbilical.,Gestion de Recursos,"4. Medicamentos, dispositivos medicos e insumos",Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1552.0,25.1. Cateteres para vena umbilical: No cuenta con Cateteres para vena umbilical.,Gestion de Recursos,"4. Medicamentos, dispositivos medicos e insumos",Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1553.0,27. Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con la siguiente informacion documentada: Ver transversal de procesos prioritarios.,Misionales,5. Procesos Prioritarios,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1554.0,"27.1. Atencion del parto: La ESE cuenta con documento disminuir los riegos de enfermedad y muerte de la mujer y el recien nacido y optimizar el pronostico de los mismo durante todas las etapas del parto, iniciando con la admision de la paciente en el triage de urgencias adulto en el cual se realiza un valoracion completa de la gestante, al momento de la verificacion se constato que el personal encargado de realizar el triage obstetrico y de atencion del parto no cuenta con capacitaciones en man...",Misionales,5. Procesos Prioritarios,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1555.0,"27.3. Manejo de complicaciones intraparto e instrumentacion: La ESE cuenta con documento protocolo parto instrumentado y protocolo de codigo rojo de los cuales se cuenta con soporte de socializacion de protocolo de codigo rojo, pese a eso al momento de la verificacion medico de turno del dia 30 de septiembre y medica del 1 de octubre manifestaron que no han recibido capacitacion relacionada con los eventos obstetricos en la institucion.",Misionales,5. Procesos Prioritarios,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1556.0,27.4. Atencion al recien nacido que incluya: No cuenta con todos los criterios.,Misionales,5. Procesos Prioritarios,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1557.0,27.4.4. Criterios de remision: No se cuenta con la informacion documentada.,Misionales,5. Procesos Prioritarios,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1558.0,"27.4.5. Vacunacion: La ESE cuenta con documento PT-MI-PP-07 vacunacion del recien nacido el cual tiene como objetivo garantizar el inicio del esquema vacunal del recien nacido, mediante la aplicacion de las vacunas antihepatitis b y BCG no se cuenta con soporte de socializacion de dicho documento.",Misionales,5. Procesos Prioritarios,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1559.0,"30. Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con partograma para toda materna en trabajo de parto: Ver transversal de historia clinica, cuenta con historia clinica digital que incluye partograma.",Misionales,6. Historia clinica y registros,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1560.0,1. Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con: Ver Estandar transversal Talento Humano.,Gestion de Talento Humano,1. Talento Humano,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1561.0,15. Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente: No cumple con todos los criterios aplicable a los servicios.,Gestion de Recursos,2. Infraestructura,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1562.0,18. Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con: No cumple con todos los criterios aplicable a los servicios.,Gestion de Recursos,2. Infraestructura,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1563.0,22. Cumple con los criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con: Revisar estandar transversal.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1564.0,22.3. Elementos para sujecion fisica para pacientes adultos y pediatricos: No cuenta con elementos para sujecion fisica para pacientes adultos y pediatricos.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1565.0,22.4. Equipo de toracostomia: No cuenta con equipo de toracostomia.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1566.0,"22.5. Carro de paro para paciente adulto y pediatrico: No cuenta con dotacion a paciente pediatrico, laringoscopio sin esterilizar.",Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1567.0,"23.2. Tensiometro adulto y pediatrico: Cuenta con tensiometro adulto, no cuenta con tensiometro pediatrico.",Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1568.0,"23.3. Fonendoscopio adulto y pediatrico: Cuenta con fonendoscopio adulto, no cuenta con fonendoscopio pediatrico.",Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1569.0,23.4. Termometro: No cuenta con termometro.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1570.0,23.8. Martillo de reflejos: No cuenta con martillo de reflejos.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1571.0,24.3. Equipo de pequena cirugia: No cuenta con equipo de pequena cirugia.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1572.0,24.4. Dotacion requerida conforme con lo documentado en el estandar de procesos prioritarios: En el estandar de procesos prioritarios no describe la dotacion requerida para el servicio.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1573.0,24.6. Succion. Puede ser suministrado mediante sistema de vacio o mediante aspirador: No cuenta con succion.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1574.0,26.2. Dotacion requerida conforme con lo documentado en el estandar de procesos prioritarios: En el estandar de procesos prioritarios no describe la dotacion requerida para el servicio.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1575.0,26.3. Oxigeno medicinal que puede ser suministrado mediante salida de oxigeno medicinal o mediante oxigeno medicinal portatil por camilla: No cuenta con oxigeno medicinal.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1576.0,26.4. Succion. Puede ser suministrado mediante sistema de vacio o mediante aspirador: No cuenta con succion.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1577.0,28.2. Mesa auxiliar rodante: No cuenta con mesa auxilixar rodante.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1578.0,28.3. Aspirador para cada camilla: No cuenta con aspirador para cada camilla.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1579.0,"28.4. Monitor de signos vitales con accesorios adultos o pediatricos que cuenta como minimo con: Monitor de signos: marca: comen, modelo: star8000E serie: e7210512150, el equipo no funciona, la pantalla se queda desde el inicio. Se le sugiere al prestador la dotacion de este equipo de manera inmediata.",Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1580.0,"28.4.1. Trazado electrocardiografico: Cuenta con accesorio, el equipo no funciona.",Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1581.0,"28.4.2. Presion no invasiva: Cuenta con accesorio, el equipo no funciona.",Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1582.0,"28.4.3. Saturacion de oxigeno: Cuenta con accesorio, el equipo no funciona.",Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1583.0,"28.4.4. Temperatura: Cuenta con accesorio, el equipo no funciona.",Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1584.0,28.6. Lampara o fuente de iluminacion movil o fija: Cuenta con lampara.,Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1585.0,"28.7. Carro de paro: El monitor del carro de paro no funciona, se le sugiere al prestador la dotacion de este equipo de manera inmediata.",Gestion de Recursos,3. Dotacion,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1586.0,34. Cumple con los Criterios que le sean aplicables de todos los servicios y adicionalmente cuenta con: Mo cumple con los criterios que le sean aplicables de todos los servicios.,Gestion de Recursos,"4. Medicamentos, dispositivos medicos e insumos",Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1587.0,36. Cumple con los criterios definidos en todos los servicios y adicionalmente cuenta con la siguiente informacion documentada: Ver transversal procesos prioritarios.,Misionales,5. Procesos Prioritarios,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1588.0,36.1. Ronda medica de evolucion diaria de pacientes: La ESE presenta PR-MI-HO-01 ronda de seguridad del paciente lo cual no es alugar a lo solicitado en el presente criterio.,Misionales,5. Procesos Prioritarios,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1589.0,"36.3. Entrega de turno por parte de enfermeria y de medicina: La ESE presenta documento PT-MI-CE-29 protocolo de recibo y entrega de turno el cual tiene como objetivo establecer las actividades necesarias para la correcta entrega y recibo de turno que garanticen la continuidad en la prestacion de los servicios dicha entrega y recibo de turno se registra en la historia clinica del paciente, no se cuenta con soporte de socializacion de dicho documento, por lo tanto no se puede garantizar que dich...",Misionales,5. Procesos Prioritarios,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1590.0,"36.4. Control de liquidos: La ESE presenta documento PT-MI-HO-22 protocolo control de liquidos administrados y eliminados en el cual se relaciona los elementos e insumos necesarios, los elementos de proteccion personal, no se cuenta con soporte de socializacion de dicho documento por lo tanto no se puede garantizar que esten en ejecucion.",Misionales,5. Procesos Prioritarios,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1591.0,"36.5. Plan de cuidados de enfermeria: La ESE presenta formato de plan de cuidados de enfermeria el cual ya esta estandarizado por patologia, no se cuenta con documento macro del plan de cuidados al igual que no se cuenta con soporte de socializacion de dicho documento por lo que no se puede garantizar que dicho plan de enfermeria se este ejecutando.",Misionales,5. Procesos Prioritarios,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
1592.0,"36.7. Sujecion de pacientes: La ESE presenta documento PT-MI-UR-55 protocolo de inmovilizacion paciente inconsciente y psiquiatrico el cual tiene como objetivo establecer las actividades que garanticen la correcta inmovilizacion del paciente, al momento de la verificacion no se cuenta con soporte de socializacion.",Misionales,5. Procesos Prioritarios,Visitas de verificacion de la Secretaria de Salud Departamental del Cauca,La Vega,La Vega,2025,3,9
